,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain
0,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=100:MaxDepth=3,0.922,0.2346656824810265,0.07935907014008613,83.53287602584984,1.9709008671134143
1,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=100:MaxDepth=5,1.01,0.22458798974641264,0.07395285928827992,83.68202761406168,1.9571978185026637
2,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=100:MaxDepth=7,1.04,0.2175311306989925,0.069048336332434,83.7320967730376,1.9504058321231241
3,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=100:MaxDepth=10,0.961,0.2156545607119651,0.06894312274344395,83.83536803130487,1.9466043581905978
4,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=100:MaxDepth=15,0.98,0.21060450377144854,0.06633770661507594,83.81514224274635,1.9452641223551836
5,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=250:MaxDepth=3,0.966,0.16379820462722838,0.03953205310204442,83.9295218466581,1.9703523562488954
6,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=250:MaxDepth=5,1.01,0.1489510627849009,0.033665266537237254,83.93828303780865,1.9362015867718014
7,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=250:MaxDepth=7,1.02,0.14082672527783374,0.030310681591070858,83.77479817708966,1.9147371296276106
8,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=250:MaxDepth=10,0.996,0.13605001859982496,0.028217165083927322,83.78939359727565,1.9096441872465562
9,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=250:MaxDepth=15,1.08,0.13489350423227006,0.027862159599686163,83.48549001733127,1.8924647299467097
10,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=400:MaxDepth=3,1.02,0.1337028549886197,0.02672548418141115,84.18034176485803,1.967980856040299
11,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=400:MaxDepth=5,1.04,0.11678464451503641,0.020773986871463163,83.8198267523843,1.9131716692962755
12,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=400:MaxDepth=7,0.993,0.1098923025636542,0.01871443988553508,83.54948902926691,1.8882704279440077
13,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=400:MaxDepth=10,1.01,0.10522231350818205,0.017254014598517848,83.63178400975545,1.8728203662356009
14,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=400:MaxDepth=15,1.05,0.10521176564206132,0.017357538204147017,83.3859040340733,1.8610318583139502
15,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=600:MaxDepth=3,0.964,0.11283062739590384,0.019235769814400453,84.08399138250807,1.9606504353142213
16,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=600:MaxDepth=5,1.01,0.09525165880922944,0.013984525628531459,83.81834106797004,1.896383469681524
17,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=600:MaxDepth=7,1.04,0.08926118508278964,0.012583927490813983,83.3740388205046,1.854743599641779
18,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=600:MaxDepth=10,1.01,0.08552359916121499,0.011571301910788707,83.04017349295572,1.829625012445831
19,HLT_PFHT180,VarTransform=U:BoostType=AdaBoost:SeparationType=MisClassificationError:MinNodeSize=1%:NTrees=600:MaxDepth=15,0.927,0.08546308485024372,0.01164812357920275,82.94433131008543,1.827366575279484
