,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.8,0.943,0.10787720759486974,0.01843652738164977,82.31952114013698,1.9271195047795118
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.821,0.0,0.10912277898404989,0.01828172080813908,82.35571458050488,1.931209422946317
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.865,0.941,0.11047456663714107,0.018226080639910828,81.3988012038002,1.924349058634789
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,0.889,1.06,0.11541029164297578,0.020254967770659257,82.88058058286656,1.9160440618488792
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,0.993,1.04,0.12509432072837473,0.023689401343992594,83.52202758053618,1.9326288380325423
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,0.935,1.12,0.1178899924331239,0.020952955897764938,83.25774830702522,1.921151241117471
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.89,1.05,0.12107728384922138,0.022076788502130216,83.37665290680538,1.9402598584381394
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,0.917,1.03,0.11041441757779269,0.01853323900983246,82.30467975633306,1.9162500736622405
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt1,0.922,1.06,0.1200984301793881,0.02176517657519488,83.00710047608271,1.925461823662772
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_pt2,0.906,1.03,0.12028393452757428,0.02153203899114643,83.32185659966,1.9335121984750003
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt1,0.965,1.08,0.11749047244900855,0.020982909946507138,83.32843686211983,1.9223224938432395
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,WJet_pt2,0.922,1.09,0.11795343853815035,0.020846544875307762,83.63152317246272,1.9342870767720797
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB1,0.884,1.11,0.11717666599426846,0.020665359174049235,83.38307748637607,1.9210323993320344
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,bJet_btagDeepB2,0.954,1.05,0.11706930534878307,0.02069694102999371,83.3813610784493,1.9151580670400108
