,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain,AMSrecon,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=G,0.947,0.08503702689640892,0.011076085760157069,83.25131529653498,1.9274436478353891,1.05,222602.57781982422,491.8554735481739
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=N,0.923,0.08438581619647237,0.011048718805133417,82.84361432959018,1.9280616816058682,1.01,21804.830909729004,139.39377236366272
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=D,0.811,0.08049864460333703,0.009963166016178526,81.90560953164291,1.9171847028374032,0.929,73203.60782623291,246.17115584015846
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=P,0.785,0.08056851135676033,0.01029265487770913,81.29668412787998,1.9088661218568177,0.875,317020.3317871094,487.97437795996666
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,VarTransform=U,0.935,0.08134217333161893,0.010200149674130398,83.10037847462412,1.9091844327995204,1.27,1031.3752663135529,22.322217255830765
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=100,0.834,0.2105310240535367,0.06520243204166604,82.3816489629965,1.9275197074261996,0.859,159623.86601257324,337.11218303442
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=250,0.839,0.1470113554428279,0.032716217341695275,82.62521404117695,1.9332967960199312,0.926,166840.58833312988,373.64471470564604
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=400,0.832,0.11942203399292871,0.021608796629211734,82.9687667451073,1.940082342711321,0.953,145239.18319702148,356.38666535168886
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=600,0.836,0.09926272234650434,0.015293635354496456,82.96416848893968,1.9194667167485022,0.96,91570.62042999268,283.6439034938812
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,NTrees=1000,0.915,0.07470151343775144,0.008722801050050924,82.87719850415102,1.916687102315791,1.05,52374.75531768799,232.5645516961813
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,BoostType=AdaBoost,0.857,0.08426829862101058,0.01107505393226981,83.03422546978754,1.9192713717593506,1.05,103374.83172607422,327.88872730731964
