,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.919,0.71,0.20403220426834376,0.060438424792084215,82.70995953086171,1.931810595209754,38815.05830383301,136.78104957938194
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hmass,0.953,0.0,0.19593839626893877,0.05590230704824569,82.35953316118149,1.9234664306394436,0.0,0.0
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,0.894,0.954,0.19818499046536844,0.05835390001417212,82.49565180166618,1.9362165868815282,3655.521132707596,21.722689896821976
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.02,0.817,0.2074483790783351,0.06278564616030412,83.6194434008729,1.9306484249009372,74911.59449768066,215.65256671607494
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.05,1.04,0.20169721300216728,0.06012481926503384,83.44069825807215,1.9267889683560497,8767.109489440918,68.63079717755318
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.02,0.824,0.20757063040295687,0.06305223003669003,83.8856003063162,1.9408066030327973,36272.845291137695,146.6732241436839
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,0.894,1.01,0.20033073589957517,0.059415576340978674,83.99299308662329,1.9428659313543903,6250.85371273756,28.626800015568733
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.05,1.11,0.19972097793520338,0.05891352085326153,81.50655620465966,1.9073695582446817,865.7921059131622,12.933246672153473
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.06,0.938,0.20615852802063203,0.062333130421387266,83.7706729253225,1.9245726914559782,30831.561363220215,132.5786380469799
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.12,1.5,0.20684194540602366,0.06312021125826608,83.88490603836087,1.937479015236704,402.48045986890793,10.629967719316483
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.917,0.752,0.21040982668852756,0.06466913649121549,83.54364317584437,1.9252586347247416,61002.11449432373,175.91653031110764
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",1.08,1.34,0.20343083193240122,0.06062511642890103,83.76886924939652,1.9248886395180307,94.02613323926926,3.814016155898571
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.14,2.79,0.20452316395282188,0.061599940876149444,83.63776267233712,1.9250890645125764,430.5236656665802,13.302590429782867
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.2,1.0,0.20474990089217945,0.0604921323255311,83.85173691277211,1.9330848136778513,6446.500907897949,70.51993189752102
