,trigger,leftvar,AMS,AMSrecon,MAD,MSE,ROCIntegral,overtrain,bckevents,sigevents
0,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wmass,0.971,0.723,0.12629526966546673,0.024714590841709752,83.29769971750066,1.9386661259359244,98121.62521362305,220.73616057634354
1,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_reconHW,1.07,0.752,0.12878637962867462,0.02517016253482135,83.0538949463732,1.924606120239332,81663.07220458984,211.59455510228872
2,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Hpt,1.83,0.835,0.1365377605461308,0.028097120479675025,84.39819018025284,1.93269254557282,30170.151733398438,134.25665539503098
3,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,recon_Wpt,1.22,0.966,0.13749473939219303,0.028315573724836385,84.30868584983232,1.9217511833157914,14196.430000305176,104.46856093406677
4,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_bb,1.3,0.924,0.13637712043522893,0.028450337095311643,84.51144615689444,1.9365879121050966,20208.460510253906,122.75986531376839
5,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,deltaR_W,1.2,0.808,0.1343375406403759,0.027842836804672172,84.22021777090525,1.9394449145802355,18736.691535949707,103.17037167400122
6,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,Jet_HT,1.43,0.869,0.12397831348078496,0.023950145483667414,83.23424646984039,1.9305466044372679,66242.66903686523,211.7051540017128
7,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_pt1', 'bJet_pt2']",1.44,0.865,0.14169003941755567,0.030131261955015608,84.39262190443921,1.9368746270483825,76797.21670532227,222.83163630962372
8,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_pt1', 'WJet_pt2']",1.1,0.854,0.13725896386515515,0.028181288009783485,84.08939345245035,1.9293746827426546,28808.72760772705,133.34497191756964
9,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepB1', 'WJet_btagDeepB2']",1.24,0.925,0.13459698320862168,0.02737568830786752,84.38153453986475,1.9396034580829564,13851.634811401367,101.12255518883467
10,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_btagDeepC1', 'WJet_btagDeepC2']",4.91,0.909,0.14315244216793244,0.03022226015973625,84.47662183145059,1.9493110854746192,42739.37854003906,175.60296308994293
11,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['bJet_mass1', 'bJet_mass2']",1.28,0.896,0.13877778359921555,0.028916216906624333,84.73326549820091,1.9417433992339284,16931.852484941483,105.29492066800594
12,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_mass1', 'WJet_mass2']",1.14,0.934,0.13460826775063023,0.027311565145994407,84.01269480669806,1.9143597396023324,26292.226318359375,135.26745020598173
13,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neEmEF1', 'WJet_neEmEF2']",1.18,0.923,0.14011607720906866,0.029812882472489057,84.5456845334445,1.9305273159880016,84195.24754333496,245.93537022918463
14,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_neHEF1', 'WJet_neHEF2']",1.24,0.836,0.13445210049756792,0.0270355431908823,84.44629035439308,1.9419971181569053,62873.741455078125,204.9888123497367
15,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['WJet_qgl1', 'WJet_qgl2']",1.21,0.862,0.13291921326929812,0.026844524412440552,83.95721587753555,1.9344540904094174,21925.810534715652,114.51040130853653
16,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,"['HJet_qgl1', 'HJet_qgl2']",1.24,0.857,0.1362258926464453,0.027964791138799135,84.30258508404594,1.9379716855382867,61570.819580078125,197.68107267469168
