leftvar,AMS,AMSstd,ROCIntegral,overtrain
Jet_HT,0.884,0.02,0.834,1.936
"['HJet_qgl1', 'HJet_qgl2']",0.976,0.106,0.846,1.94
"['WJet_btagDeepB1', 'WJet_btagDeepB2']",0.909,0.032,0.842,1.935
"['WJet_btagDeepC1', 'WJet_btagDeepC2']",0.872,0.032,0.845,1.942
"['WJet_mass1', 'WJet_mass2']",0.962,0.117,0.842,1.929
"['WJet_nConstituents1', 'WJet_nConstituents2']",0.953,0.092,0.844,1.931
"['WJet_neEmEF1', 'WJet_neEmEF2']",0.931,0.048,0.845,1.94
"['WJet_neHEF1', 'WJet_neHEF2']",1.095,0.363,0.846,1.942
"['WJet_pt1', 'WJet_pt2']",1.158,0.583,0.842,1.936
"['WJet_qgl1', 'WJet_qgl2']",0.85,0.092,0.84,1.94
"['bJet_mass1', 'bJet_mass2']",0.874,0.036,0.844,1.938
"['bJet_pt1', 'bJet_pt2']",0.845,0.02,0.844,1.936
deltaR_W,0.866,0.052,0.843,1.941
deltaR_bb,0.911,0.066,0.843,1.933
deltaR_reconHW,0.781,0.025,0.829,1.93
recon_Hpt,0.879,0.085,0.843,1.935
recon_Wmass,0.73,0.006,0.833,1.938
recon_Wpt,0.912,0.047,0.845,1.931
