Option,AMS,AMS std,Nsignal,Nsignalstd,ROCIntegral,Overtrain
BoostType=AdaBoost,0.664,0.013,195.0,76.0,0.828,1.934
BoostType=Bagging,0.447,0.006,521.0,21.0,0.749,1.959
BoostType=Grad,0.637,0.014,218.0,8.0,0.821,1.874
BoostType=RealAdaBoost,0.563,0.027,224.0,8.0,0.816,1.943
MaxDepth=10,0.747,0.108,109.0,74.0,0.82,1.847
MaxDepth=15,1.049,0.609,91.0,67.0,0.822,1.857
MaxDepth=3,0.667,0.011,161.0,30.0,0.829,1.935
MaxDepth=4,0.683,0.034,168.0,51.0,0.827,1.91
MaxDepth=5,0.815,0.204,101.0,55.0,0.824,1.885
MaxDepth=7,0.921,0.363,114.0,18.0,0.822,1.865
MinNodeSize=0.5,0.677,0.021,180.0,95.0,0.832,1.932
MinNodeSize=1%,0.712,0.025,97.0,32.0,0.83,1.929
MinNodeSize=10%,0.61,0.03,228.0,84.0,0.821,1.93
MinNodeSize=2.5%,0.818,0.227,100.0,95.0,0.831,1.93
MinNodeSize=5%,0.674,0.028,105.0,57.0,0.828,1.933
MinNodeSize=7.5%,0.736,0.168,112.0,91.0,0.827,1.931
NTrees=100,0.582,0.034,192.0,23.0,0.823,1.948
NTrees=1000,0.692,0.013,101.0,69.0,0.83,1.932
NTrees=250,0.615,0.008,190.0,68.0,0.827,1.946
NTrees=400,0.651,0.005,203.0,67.0,0.829,1.943
NTrees=50,0.552,0.027,214.0,22.0,0.816,1.942
NTrees=600,0.657,0.037,151.0,39.0,0.828,1.938
NodePurityLimit=0.1,0.0,0.0,0.0,0.0,1.5,2.0
NodePurityLimit=0.3,0.395,0.01,808.0,105.0,0.528,1.936
NodePurityLimit=0.5,0.694,0.044,119.0,44.0,0.83,1.934
NodePurityLimit=0.7,0.508,0.005,300.0,43.0,0.717,1.979
NodePurityLimit=0.9,0.311,0.269,127.0,110.0,0.388,2.0
SeparationType=CrossEntropy,0.679,0.019,204.0,74.0,0.83,1.935
SeparationType=GiniIndex,0.693,0.027,153.0,28.0,0.832,1.939
SeparationType=GiniIndexWithLaplace,0.77,0.181,122.0,94.0,0.829,1.932
SeparationType=MisClassificationError,0.672,0.008,167.0,20.0,0.828,1.928
SeparationType=SDivSqrtSplusB,0.428,0.024,332.0,62.0,0.754,1.94
UseFisherCuts=False,0.677,0.036,162.0,116.0,0.83,1.937
UseFisherCuts=True,0.768,0.107,32.0,22.0,0.827,1.921
VarTransform=D,0.683,0.088,135.0,101.0,0.82,1.929
VarTransform=G,0.687,0.007,156.0,18.0,0.831,1.927
VarTransform=N,0.667,0.044,144.0,68.0,0.827,1.918
VarTransform=P,0.577,0.015,227.0,16.0,0.815,1.927
VarTransform=U,1.463,1.28,63.0,67.0,0.83,1.905
BoostType=AdaBoost,0.628,0.013,521.0,61.0,0.832,1.974
BoostType=Bagging,0.39,0.017,2435.0,503.0,0.746,1.973
BoostType=Grad,0.621,0.008,757.0,12.0,0.835,1.96
BoostType=RealAdaBoost,0.497,0.008,401.0,84.0,0.809,1.977
MaxDepth=10,0.647,0.005,438.0,127.0,0.835,1.954
MaxDepth=15,0.642,0.022,339.0,182.0,0.835,1.955
MaxDepth=3,0.606,0.025,509.0,29.0,0.832,1.973
MaxDepth=4,0.618,0.018,553.0,31.0,0.834,1.965
MaxDepth=5,0.646,0.011,399.0,117.0,0.835,1.965
MaxDepth=7,0.65,0.012,293.0,140.0,0.833,1.955
MinNodeSize=0.5,0.675,0.018,381.0,173.0,0.838,1.974
MinNodeSize=1%,0.667,0.034,465.0,241.0,0.837,1.974
MinNodeSize=10%,0.559,0.009,564.0,35.0,0.821,1.971
MinNodeSize=2.5%,0.661,0.006,437.0,30.0,0.838,1.968
MinNodeSize=5%,0.632,0.009,442.0,164.0,0.832,1.975
MinNodeSize=7.5%,0.596,0.014,576.0,21.0,0.828,1.972
NTrees=100,0.56,0.025,584.0,67.0,0.821,1.974
NTrees=1000,0.628,0.009,526.0,86.0,0.833,1.972
NTrees=250,0.581,0.013,565.0,53.0,0.826,1.975
NTrees=400,0.61,0.026,522.0,54.0,0.828,1.971
NTrees=50,0.49,0.021,660.0,63.0,0.807,1.974
NTrees=600,0.602,0.016,515.0,42.0,0.829,1.975
NodePurityLimit=0.1,0.0,0.0,0.0,0.0,1.0,2.0
NodePurityLimit=0.3,0.359,0.012,3337.0,275.0,0.511,1.972
NodePurityLimit=0.5,0.617,0.014,459.0,22.0,0.832,1.973
NodePurityLimit=0.7,0.402,0.019,1709.0,449.0,0.719,1.987
NodePurityLimit=0.9,0.125,0.216,176.0,305.0,0.187,2.0
SeparationType=CrossEntropy,0.62,0.012,539.0,20.0,0.831,1.975
SeparationType=GiniIndex,0.629,0.003,523.0,36.0,0.833,1.975
SeparationType=GiniIndexWithLaplace,0.627,0.004,491.0,54.0,0.83,1.973
SeparationType=MisClassificationError,0.617,0.015,510.0,62.0,0.832,1.973
SeparationType=SDivSqrtSplusB,0.345,0.006,1652.0,463.0,0.735,1.972
UseFisherCuts=False,0.62,0.009,406.0,168.0,0.832,1.975
UseFisherCuts=True,0.654,0.021,346.0,156.0,0.834,1.973
VarTransform=D,0.54,0.022,492.0,19.0,0.828,1.974
VarTransform=G,0.667,0.015,460.0,19.0,0.837,1.967
VarTransform=N,0.618,0.018,523.0,35.0,0.832,1.975
VarTransform=P,0.986,0.766,577.0,491.0,0.828,1.971
VarTransform=U,0.66,0.003,473.0,32.0,0.838,1.966
