options,AMS,AMSstd,AMSrecon,AMSreconstd,sigevents,sigeventsstd,bckevents,ROCIntegral,overtrain
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=1%:NTrees=100,0.863,,0.93,0.006,393.10439216593903,21.679,187187.17619790634,0.831,1.939
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=1%:NTrees=1000,0.919,,1.127,0.031,289.1220795909564,59.925,70541.44509633382,0.832,1.897
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=1%:NTrees=250,0.94,,1.013,0.013,340.38454626003903,58.876,119146.20351918538,0.834,1.938
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=1%:NTrees=400,0.964,,1.063,0.006,348.43971543262404,36.836,113565.62789154053,0.833,1.914
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=1%:NTrees=600,0.916,,2.163,1.807,241.218038191398,205.273,71005.77809456985,0.834,1.916
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=10%:NTrees=100,0.802,,0.881,0.02,428.08838879317045,141.032,266031.9560190837,0.827,1.948
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=10%:NTrees=1000,0.867,,1.15,0.115,202.05962450553974,167.348,54410.697147508465,0.828,1.909
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=10%:NTrees=250,0.825,,0.945,0.023,373.64458215236664,143.328,178219.92307662964,0.832,1.953
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=10%:NTrees=400,0.837,,0.971,0.017,424.2383748094241,139.384,213281.8453725179,0.83,1.94
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=10%:NTrees=600,0.858,,1.04,0.045,392.90793806066114,137.999,167302.19730122885,0.829,1.925
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=2.5%:NTrees=100,0.849,,0.922,0.012,355.8962758257985,41.738,157488.4753564,0.83,1.939
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=2.5%:NTrees=1000,0.948,,1.207,0.083,191.9151846418778,150.872,40944.98037465414,0.83,1.886
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=2.5%:NTrees=250,0.914,,1.008,0.054,342.7861809109648,182.101,154968.07931749025,0.834,1.937
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=2.5%:NTrees=400,0.888,,1.07,0.036,299.4180233006676,27.908,86010.02402939399,0.834,1.928
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=2.5%:NTrees=600,0.936,,1.1,0.02,308.6478206962347,30.793,85743.04674869776,0.833,1.907
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=5%:NTrees=100,0.871,,0.908,0.018,402.92400547862053,22.335,203301.8638788859,0.829,1.94
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=5%:NTrees=1000,0.934,,1.13,0.01,293.54434039692086,36.222,72637.06853697698,0.831,1.897
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=5%:NTrees=250,0.888,,1.001,0.019,375.47033247351646,24.271,148862.31913606325,0.833,1.933
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=5%:NTrees=400,0.897,,1.04,0.02,399.7844641432166,94.459,161639.20484924316,0.832,1.929
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=5%:NTrees=600,0.911,,1.09,0.036,328.37656608223915,22.485,96718.51676644881,0.83,1.915
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=7.5%:NTrees=100,0.817,,0.921,0.004,397.2283153831959,29.139,196531.55875094727,0.825,1.939
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=7.5%:NTrees=1000,0.87,,1.13,0.092,281.10930924117565,242.097,108032.91030351321,0.83,1.904
SeparationType=CrossEntropy:MaxDepth=3:MinNodeSize=7.5%:NTrees=250,0.871,,0.974,0.016,348.33012911925715,194.424,165348.2918802897,0.83,1.934
