,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain,AMSrecon,bckevents,sigevents
0,HLT_PFHT180,VarTransform=G,,0.151451707328529,0.036523607499647,91.2680348225897,1.98189148922418,0.872,96167.2870254517,261.663442417979
1,HLT_PFHT180,VarTransform=N,1.63,0.146516150649932,0.03414565427046,90.9123231656156,1.98099067629887,0.788,165766.903076172,304.263475075364
2,HLT_PFHT180,VarTransform=D,,0.130642317071328,0.026915836758918,89.7800399287892,1.9814926510453,0.59,1198162.6328125,595.250648260117
3,HLT_PFHT180,VarTransform=P,0.716,0.127101325818164,0.025965947975615,89.529974599419,1.98384514760212,0.615,461120.421875,370.816369771957
4,HLT_PFHT180,VarTransform=U,1.2,0.152710283191906,0.038162804552439,91.226311419464,1.9766426845278,0.911,106945.219787598,276.888231627643
5,HLT_PFHT180,NTrees=50,0.604,0.353776636104211,0.179931340122094,88.6831052461147,1.98126561384356,0.466,12981752.484375,1621.80218982697
6,HLT_PFHT180,NTrees=100,0.782,0.287204933128281,0.119246771926866,89.8355039858276,1.98439223010791,0.562,1374305.98095703,643.689020216465
7,HLT_PFHT180,NTrees=250,0.938,0.211063191198838,0.067093711109534,90.2564208001186,1.98277437505658,0.646,1544684.40942383,784.380248010159
8,HLT_PFHT180,NTrees=500,1.12,0.170103215910743,0.044191217655748,90.7870649999144,1.98296077049838,0.84,70365.2678527832,211.612247154117
9,HLT_PFHT180,NTrees=1000,,0.137039028563579,0.030091666428202,90.863777208844,1.97941987421217,0.757,73860.1550598145,190.440482549369
10,HLT_PFHT180,BoostType=AdaBoost,,0.144537170075586,0.032867970347677,90.7685559702051,1.98299666059216,0.809,72765.7252044678,210.634806990623
11,HLT_PFHT180,BoostType=RealAdaBoost,0.734,0.462874310709271,0.216094795867372,89.4045855851808,1.98085328083835,0.569,3859322.6796875,1058.1062502861
12,HLT_PFHT180,BoostType=Bagging,0.227,0.738243102106556,0.636995166032332,82.1814182602097,1.98647151654586,0.37,104454724,3366.18096923828
13,HLT_PFHT180,BoostType=Grad,0.704,0.691872133992837,0.566708730650861,90.8881069085119,1.96629351051524,0.598,8505744.82421875,1713.11334466934
14,HLT_PFHT180,NodePurityLimit=0.25,0.021,0.941214145459041,0.921177702742743,23.2027057766625,1.98583143949509,0.33,192630230,4074.11985397339
15,HLT_PFHT180,NodePurityLimit=0.5,,0.142517612877571,0.031698362713664,90.7445509375013,1.98207833981428,0.776,152009.581359863,291.691972196102
16,HLT_PFHT180,NodePurityLimit=0.75,0.22,0.944813242238093,0.912767002567344,67.6053652511577,1.99742069654167,0.458,1928086.6796875,542.469049930573
17,HLT_PFHT180,MaxDepth=2,0.9,0.135734018915946,0.027759638239205,90.050022934033,1.98398403259318,0.673,613168.980957031,504.809202671051
18,HLT_PFHT180,MaxDepth=3,,0.147284609075178,0.033946077593014,91.0978192347631,1.98426768869365,0.799,91900.4634692073,229.007252447307
19,HLT_PFHT180,MaxDepth=5,1.13,0.144527381863201,0.03448712784846,90.8594549071023,1.97204603458613,0.841,206239.468261719,362.7196867764
20,HLT_PFHT180,MaxDepth=10,1.11,0.142838708392918,0.034118504222197,90.9507902518456,1.96789018881657,0.859,170561.336761475,335.896129816771
21,HLT_PFHT180,MinNodeSize=0.5,,0.161059945544043,0.040798004503506,90.9240329576394,1.9813089017463,0.845,47723.3404388428,169.080504730344
22,HLT_PFHT180,MinNodeSize=1%,1.17,0.150363827621237,0.035683881081797,91.1932034843898,1.97818274480778,0.797,554209.642578125,578.502582907677
23,HLT_PFHT180,MinNodeSize=2.5%,1.16,0.15202689164238,0.036196016332791,91.0615837492094,1.98221662545217,0.815,100676.382446289,231.529229432344
24,HLT_PFHT180,MinNodeSize=5%,1.04,0.145866838686064,0.033775296494804,90.9685055435902,1.98059340007532,0.731,154963.756225586,263.328607738018
25,HLT_PFHT180,MinNodeSize=10%,1.02,0.142295786448329,0.030968193877937,90.5311293468523,1.98100994183415,0.689,1228406.31787109,749.905495464802
26,HLT_PFHT180,SeparationType=CrossEntropy,1.27,0.144218131048994,0.032753291360401,90.8319826029551,1.97894188915757,0.814,111535.262969971,249.984051287174
27,HLT_PFHT180,SeparationType=GiniIndex,1.11,0.146509089233637,0.033935757600605,90.7611853832331,1.98129551413788,0.856,205154.518829346,349.135857820511
28,HLT_PFHT180,SeparationType=GiniIndexWithLaplace,,0.149864065223263,0.035180227880615,90.890914566127,1.9794795525462,0.789,118437.957824707,257.94667109102
29,HLT_PFHT180,SeparationType=MisClassificationError,1.01,0.147208508029972,0.034313410822788,90.8230020603913,1.98251427228355,0.786,273958.433837891,395.297160476446
30,HLT_PFHT180,SeparationType=SDivSqrtSplusB,0.308,0.337983427838073,0.167246964479742,72.8036305570048,1.98397595231654,0.391,15102901.0625,1310.84124183655
31,HLT_PFHT180,VarTransform=G,1.57,0.150968828627476,0.036260510956979,91.2443309798975,1.98201997524598,0.855,164077.962524414,327.83336135
32,HLT_PFHT180,VarTransform=N,,0.145188758591925,0.033665437344481,90.7490932843668,1.98352314530177,0.778,146692.684921265,274.518182218075
33,HLT_PFHT180,VarTransform=D,0.754,0.136049159207341,0.029933933276014,89.7145020326043,1.98282411954035,0.587,1933076.83984375,750.948094129562
34,HLT_PFHT180,VarTransform=P,0.737,0.131794916940264,0.027612585610896,89.6481012723769,1.98483190602519,0.602,2905974,948.262836933136
35,HLT_PFHT180,VarTransform=U,1.16,0.151951331864608,0.037266183047336,91.2553451245527,1.98182963774548,0.851,131640.463745117,298.5279763937
36,HLT_PFHT180,NTrees=50,0.736,0.352261634454093,0.179834693846903,88.9020171719483,1.98436638594634,0.526,2174177.20654297,739.223391711712
37,HLT_PFHT180,NTrees=100,0.784,0.288621122637793,0.121532517089426,89.779297168101,1.98389739109234,0.549,1413589.15454102,637.741495609283
38,HLT_PFHT180,NTrees=250,0.922,0.2204544029426,0.072291036680214,90.2698957227642,1.98461226582026,0.7,625942.766357422,534.198479533196
39,HLT_PFHT180,NTrees=500,0.95,0.168240771156305,0.04371067581964,90.6350095305729,1.98428763728285,0.693,1780267.08520508,896.843339323998
40,HLT_PFHT180,NTrees=1000,1.12,0.132498379706552,0.028411436730178,90.8422375372103,1.97739384090815,0.818,194451.959350586,348.334616482258
41,HLT_PFHT180,BoostType=AdaBoost,1.2,0.145491483175093,0.033512863202964,90.795831119051,1.98261009299085,1.03,63234.9304573536,185.558484382927
42,HLT_PFHT180,BoostType=RealAdaBoost,0.825,0.462989223028645,0.216237630237312,89.394528272583,1.97986434474979,0.6,629217.720806122,447.504820793867
43,HLT_PFHT180,BoostType=Bagging,0.225,0.764379383155451,0.673000296802932,79.5354370201517,1.98244752486062,0.364,106568533,3340.44658279419
44,HLT_PFHT180,BoostType=Grad,0.718,0.689819536946438,0.563156121551435,90.9609064441985,1.96125778695568,0.611,8283339.40625,1732.44807100296
45,HLT_PFHT180,NodePurityLimit=0.25,0.048,0.609744059196758,0.482655110658892,61.3847817137714,1.9889108518837,0.353,156019932.5,3876.27899551392
46,HLT_PFHT180,NodePurityLimit=0.5,1.19,0.143549275296015,0.032520687661295,90.8148556137356,1.98544155867739,0.813,205273.636230469,345.754155576229
47,HLT_PFHT180,NodePurityLimit=0.75,0.127,1.00000179118723,1.00001112489184,62.6164493166437,2,0.426,19040694.3125,1608.20404434204
48,HLT_PFHT180,MaxDepth=2,0.823,0.133163785023917,0.026499862392446,90.1862789482394,1.98155518862947,0.615,625652.825317383,464.648444920778
49,HLT_PFHT180,MaxDepth=3,1.18,0.148097681313384,0.034719988121923,90.797884103041,1.98363810877413,0.812,107182.400801182,252.885970339179
50,HLT_PFHT180,MaxDepth=5,,0.140912076014868,0.031976618565021,90.8536492091256,1.97035104844713,0.776,244392.074066162,369.108579367399
51,HLT_PFHT180,MaxDepth=10,1.11,0.142491865921556,0.033768791916022,90.8385166168119,1.96252801504147,0.785,165365.382598877,304.553726322949
